"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-11-19","2,638.70","2,616.75","2,640.40","2,615.00","","0.92%"
"2024-11-18","2,614.60","2,571.50","2,619.50","2,568.50","195.29K","1.73%"
"2024-11-15","2,570.10","2,570.40","2,580.80","2,558.90","179.89K","-0.11%"
"2024-11-14","2,572.90","2,578.10","2,585.80","2,541.50","266.16K","-0.53%"
"2024-11-13","2,586.50","2,604.70","2,625.00","2,578.10","262.75K","-0.76%"
"2024-11-12","2,606.30","2,625.70","2,633.40","2,595.70","282.77K","-0.44%"
"2024-11-11","2,617.70","2,692.10","2,693.40","2,617.10","281.92K","-2.86%"
"2024-11-8","2,694.80","2,713.60","2,717.80","2,687.30","233.11K","-0.41%"
"2024-11-7","2,705.80","2,667.70","2,718.30","2,650.30","292.92K","1.10%"
"2024-11-6","2,676.30","2,752.60","2,758.80","2,660.70","361.31K","-2.67%"
"2024-11-5","2,749.70","2,746.00","2,759.50","2,733.40","151.43K","0.13%"
"2024-11-4","2,746.20","2,743.50","2,757.50","2,739.40","145.25K","-0.11%"
"2024-11-1","2,749.20","2,754.00","2,772.40","2,742.60","180.66K","0.00%"
"2024-10-31","2,749.30","2,799.10","2,801.20","2,741.80","242.57K","-1.84%"
"2024-10-30","2,800.80","2,786.90","2,801.80","2,782.40","191.55K","1.16%"
"2024-10-29","2,768.80","2,741.90","2,773.20","2,741.90","0.85K","0.92%"
"2024-10-28","2,743.60","2,739.40","2,745.60","2,725.80","0.57K","0.05%"
"2024-10-25","2,742.20","2,735.40","2,747.20","2,716.90","0.26K","0.21%"
"2024-10-24","2,736.50","2,717.40","2,743.30","2,717.40","0.34K","0.71%"
"2024-10-23","2,717.10","2,748.90","2,758.50","2,709.90","0.65K","-1.10%"
"2024-10-22","2,747.40","2,723.10","2,749.50","2,721.80","0.43K","0.76%"
"2024-10-21","2,726.80","2,724.30","2,742.60","2,716.90","0.41K","0.32%"
"2024-10-18","2,718.00","2,696.20","2,725.60","2,696.20","0.22K","0.83%"
"2024-10-17","2,695.50","2,676.90","2,700.50","2,676.90","0.27K","0.60%"
"2024-10-16","2,679.30","2,666.80","2,689.50","2,666.00","0.38K","0.46%"
"2024-10-15","2,667.00","2,654.60","2,673.80","2,643.10","0.24K","0.50%"
"2024-10-14","2,653.70","2,659.90","2,671.30","2,648.40","0.39K","-0.40%"
"2024-10-11","2,664.40","2,634.40","2,666.80","2,634.40","0.31K","1.41%"
"2024-10-10","2,627.40","2,614.80","2,636.90","2,608.80","0.88K","0.51%"
"2024-10-9","2,614.10","2,628.80","2,630.60","2,612.00","0.77K","-0.36%"
"2024-10-8","2,623.50","2,649.60","2,660.40","2,612.70","1.05K","-1.15%"
"2024-10-7","2,654.00","2,658.80","2,666.60","2,646.00","0.39K","-0.08%"
"2024-10-4","2,656.00","2,663.00","2,678.20","2,641.90","0.85K","-0.43%"
"2024-10-3","2,667.40","2,668.30","2,670.70","2,646.50","0.65K","0.35%"
"2024-10-2","2,658.10","2,671.10","2,672.40","2,653.30","0.34K","-0.76%"
"2024-10-1","2,678.50","2,644.40","2,681.70","2,644.40","0.46K","1.16%"
"2024-9-30","2,647.90","2,667.90","2,675.20","2,636.80","0.55K","-0.32%"
"2024-9-27","2,656.50","2,682.30","2,684.00","2,655.00","0.64K","-0.52%"
"2024-9-26","2,670.40","2,656.80","2,683.90","2,653.40","17.22K","0.36%"
"2024-9-25","2,660.70","2,658.70","2,670.50","2,649.80","21.76K","0.29%"
"2024-9-24","2,653.00","2,628.60","2,665.10","2,623.50","13.09K","0.93%"
"2024-9-23","2,628.60","2,622.50","2,635.70","2,615.40","8.70K","0.24%"
"2024-9-20","2,622.40","2,588.10","2,626.50","2,585.40","9.30K","1.22%"
"2024-9-19","2,590.90","2,561.60","2,597.00","2,552.10","8.60K","0.62%"
"2024-9-18","2,574.90","2,573.40","2,603.70","2,549.40","10.66K","0.23%"
"2024-9-17","2,568.90","2,586.30","2,590.00","2,564.10","6.95K","-0.63%"
"2024-9-16","2,585.20","2,584.80","2,593.40","2,578.80","4.57K","-0.06%"
"2024-9-13","2,586.80","2,565.10","2,590.60","2,562.00","10.05K","1.16%"
"2024-9-12","2,557.10","2,517.90","2,564.80","2,515.50","9.29K","1.51%"
"2024-9-11","2,519.00","2,522.00","2,534.40","2,505.70","4.91K","-0.02%"
"2024-9-10","2,519.50","2,511.60","2,523.90","2,505.60","5.90K","0.41%"
"2024-9-9","2,509.30","2,503.20","2,512.70","2,491.30","4.64K","0.31%"
"2024-9-6","2,501.50","2,523.70","2,536.10","2,490.70","6.27K","-0.72%"
"2024-9-5","2,519.70","2,502.30","2,530.50","2,500.70","6.72K","0.68%"
"2024-9-4","2,502.70","2,500.40","2,507.80","2,479.80","5.94K","0.12%"
"2024-9-3","2,499.70","2,509.00","2,516.30","2,481.60","10.28K","-0.19%"
"2024-8-30","2,504.50","2,530.70","2,536.20","2,503.90","6.48K","-1.27%"
"2024-8-29","2,536.70","2,516.60","2,538.70","2,513.80","10.79K","1.36%"
"2024-8-28","2,502.60","2,525.20","2,526.40","2,493.20","2.35K","-0.60%"
"2024-8-27","2,517.70","2,517.60","2,525.20","2,504.40","0.65K","-0.10%"
"2024-8-26","2,520.20","2,512.60","2,527.70","2,509.30","0.66K","0.36%"
"2024-8-23","2,511.20","2,486.20","2,518.70","2,486.10","0.75K","1.17%"
"2024-8-22","2,482.10","2,515.60","2,516.00","2,472.60","0.74K","-1.22%"
"2024-8-21","2,512.80","2,517.40","2,522.00","2,495.00","0.60K","-0.13%"
"2024-8-20","2,516.10","2,507.70","2,535.40","2,502.10","0.66K","0.37%"
"2024-8-19","2,506.80","2,512.80","2,513.80","2,489.30","0.78K","0.13%"
"2024-8-16","2,503.60","2,460.20","2,513.80","2,454.60","0.59K","1.83%"
"2024-8-15","2,458.60","2,452.00","2,471.80","2,437.10","0.53K","0.51%"
"2024-8-14","2,446.20","2,470.60","2,485.40","2,443.00","0.56K","-1.12%"
"2024-8-13","2,473.90","2,477.30","2,482.50","2,464.20","0.37K","0.16%"
"2024-8-12","2,469.90","2,436.00","2,478.00","2,430.00","0.73K","1.23%"
"2024-8-9","2,439.80","2,431.90","2,441.70","2,424.10","0.70K","0.39%"
"2024-8-8","2,430.30","2,389.50","2,433.90","2,388.00","0.58K","1.26%"
"2024-8-7","2,400.00","2,398.60","2,414.20","2,387.00","0.46K","0.05%"
"2024-8-6","2,398.90","2,420.90","2,431.20","2,390.20","0.50K","-0.53%"
"2024-8-5","2,411.80","2,458.50","2,466.10","2,373.80","1.13K","-1.00%"
"2024-8-2","2,436.20","2,456.40","2,487.60","2,420.50","2.46K","-0.40%"
"2024-8-1","2,445.90","2,458.80","2,470.80","2,439.10","1.15K","0.30%"
"2024-7-31","2,438.50","2,420.80","2,461.10","2,415.40","1.32K","0.86%"
"2024-7-30","2,417.60","2,392.80","2,422.40","2,388.80","3.57K","1.67%"
"2024-7-29","2,377.80","2,386.90","2,402.10","2,367.30","126.41K","-0.13%"
"2024-7-26","2,381.00","2,363.80","2,389.70","2,354.60","154.52K","1.17%"
"2024-7-25","2,353.50","2,398.10","2,400.80","2,351.90","294.90K","-2.57%"
"2024-7-24","2,415.70","2,410.70","2,433.00","2,397.00","245.88K","0.35%"
"2024-7-23","2,407.30","2,398.00","2,413.50","2,389.20","171.19K","0.53%"
"2024-7-22","2,394.70","2,403.70","2,414.40","2,385.20","197.56K","-0.18%"
"2024-7-19","2,399.10","2,448.00","2,448.40","2,395.70","254.41K","-2.33%"
"2024-7-18","2,456.40","2,462.50","2,478.50","2,442.90","192.77K","-0.14%"
"2024-7-17","2,459.90","2,473.20","2,488.40","2,455.50","259.54K","-0.32%"
"2024-7-16","2,467.80","2,427.10","2,474.50","2,424.50","246.09K","1.60%"
"2024-7-15","2,428.90","2,419.30","2,445.00","2,406.10","193.54K","0.34%"
"2024-7-12","2,420.70","2,421.00","2,423.20","2,396.10","220.93K","-0.05%"
"2024-7-11","2,421.90","2,377.40","2,430.40","2,376.80","303.52K","1.77%"
"2024-7-10","2,379.70","2,371.00","2,393.40","2,369.70","163.90K","0.50%"
"2024-7-9","2,367.90","2,366.50","2,378.30","2,356.00","252.49K","0.19%"
"2024-7-8","2,363.50","2,396.20","2,399.30","2,358.30","240.78K","-1.43%"
"2024-7-5","2,397.70","2,365.80","2,401.50","2,356.00","293.25K","1.40%"
"2024-7-4","2,364.60","2,367.20","2,371.05","2,359.35","","-0.20%"
"2024-7-3","2,369.40","2,338.60","2,374.50","2,335.70","193.64K","1.54%"
"2024-7-2","2,333.40","2,341.60","2,346.10","2,327.40","153.71K","-0.24%"
"2024-7-1","2,338.90","2,336.20","2,348.80","2,328.20","142.60K","-0.03%"
"2024-6-28","2,339.60","2,338.60","2,350.60","2,329.70","135.38K","0.13%"
"2024-6-27","2,336.60","2,309.40","2,342.00","2,306.80","140.23K","1.55%"
"2024-6-26","2,301.00","2,318.80","2,320.50","2,292.90","0.99K","-0.75%"
"2024-6-25","2,318.40","2,334.40","2,336.20","2,314.80","1.26K","-0.60%"
"2024-6-24","2,332.40","2,322.10","2,334.70","2,318.00","0.60K","0.57%"
"2024-6-21","2,319.10","2,361.50","2,370.00","2,318.00","0.60K","-1.61%"
"2024-6-20","2,357.00","2,331.40","2,367.00","2,327.00","0.83K","0.60%"
"2024-6-19","2,343.00","2,342.95","2,349.65","2,338.60","","0.35%"
"2024-6-18","2,334.80","2,323.30","2,334.50","2,309.10","0.39K","0.77%"
"2024-6-17","2,316.90","2,336.00","2,336.00","2,312.40","0.45K","-0.86%"
"2024-6-14","2,337.00","2,306.30","2,339.30","2,305.80","0.42K","1.35%"
"2024-6-13","2,305.90","2,328.40","2,330.20","2,299.20","0.65K","-1.57%"
"2024-6-12","2,342.70","2,321.70","2,345.10","2,315.70","0.60K","1.21%"
"2024-6-11","2,314.60","2,315.70","2,325.20","2,303.30","0.79K","-0.02%"
"2024-6-10","2,315.10","2,299.50","2,319.30","2,292.90","0.75K","0.08%"
"2024-6-7","2,313.20","2,383.60","2,394.30","2,293.10","1.30K","-2.76%"
"2024-6-6","2,378.90","2,363.80","2,385.20","2,361.40","0.88K","0.65%"
"2024-6-5","2,363.60","2,335.50","2,365.20","2,335.10","0.59K","1.19%"
"2024-6-4","2,335.70","2,360.20","2,361.00","2,324.50","1.40K","-0.92%"
"2024-6-3","2,357.50","2,335.00","2,363.50","2,323.90","0.77K","1.01%"
"2024-5-31","2,333.90","2,352.40","2,368.60","2,330.00","1.21K","-0.88%"
"2024-5-30","2,354.70","2,357.90","2,360.70","2,332.10","2.72K","0.58%"
"2024-5-29","2,341.20","2,362.50","2,363.70","2,334.20","119.32K","-0.65%"
"2024-5-28","2,356.50","2,338.00","2,365.50","2,333.80","316.22K","0.00%"
"2024-5-27","2,356.50","2,338.00","2,365.50","2,333.80","105.47K","0.94%"
"2024-5-24","2,334.50","2,330.40","2,349.00","2,326.30","178.34K","-0.12%"
"2024-5-23","2,337.20","2,383.00","2,385.70","2,328.10","273.66K","-2.33%"
"2024-5-22","2,392.90","2,425.40","2,430.50","2,378.00","253.85K","-1.36%"
"2024-5-21","2,425.90","2,431.50","2,438.20","2,408.50","229.42K","-0.52%"
"2024-5-20","2,438.50","2,422.20","2,454.20","2,411.10","281.43K","0.87%"
"2024-5-17","2,417.40","2,381.40","2,427.40","2,377.80","218.55K","1.34%"
"2024-5-16","2,385.50","2,391.50","2,402.70","2,375.20","191.03K","-0.39%"
"2024-5-15","2,394.90","2,362.90","2,396.10","2,357.10","249.84K","1.48%"
"2024-5-14","2,359.90","2,342.30","2,365.20","2,340.50","192.08K","0.72%"
"2024-5-13","2,343.00","2,369.10","2,370.80","2,337.60","243.08K","-1.35%"
"2024-5-10","2,375.00","2,353.50","2,385.30","2,352.00","275.24K","1.48%"
"2024-5-9","2,340.30","2,316.50","2,354.20","2,312.90","249.09K","0.78%"
"2024-5-8","2,322.30","2,322.00","2,329.60","2,311.40","214.69K","-0.08%"
"2024-5-7","2,324.20","2,334.80","2,338.70","2,318.20","204.62K","-0.30%"
"2024-5-6","2,331.20","2,312.80","2,341.90","2,300.60","191.90K","0.98%"
"2024-5-3","2,308.60","2,313.50","2,330.70","2,285.20","231.40K","-0.04%"
"2024-5-2","2,309.60","2,329.90","2,336.10","2,294.30","193.66K","-0.06%"
"2024-5-1","2,311.00","2,298.20","2,339.50","2,291.70","227.38K","0.35%"
"2024-4-30","2,302.90","2,347.00","2,347.60","2,296.20","229.06K","-2.32%"
"2024-4-29","2,357.70","2,347.60","2,358.90","2,331.00","187.31K","0.97%"
"2024-4-26","2,335.00","2,333.10","2,350.50","2,326.60","0.72K","0.20%"
"2024-4-25","2,330.30","2,317.80","2,344.80","2,306.40","0.99K","0.18%"
"2024-4-24","2,326.00","2,324.00","2,338.00","2,313.60","0.78K","-0.17%"
"2024-4-23","2,329.90","2,332.20","2,336.00","2,293.60","0.79K","-0.20%"
"2024-4-22","2,334.60","2,391.50","2,391.50","2,327.30","1.03K","-2.78%"
"2024-4-19","2,401.40","2,381.10","2,418.10","2,374.70","1.61K","0.65%"
"2024-4-18","2,385.80","2,366.10","2,395.70","2,366.10","2.55K","0.40%"
"2024-4-17","2,376.20","2,387.90","2,399.50","2,359.90","0.58K","-0.81%"
"2024-4-16","2,395.50","2,387.00","2,402.20","2,367.40","1.27K","1.04%"
"2024-4-15","2,370.90","2,357.30","2,392.00","2,330.10","1.67K","0.38%"
"2024-4-12","2,362.00","2,377.70","2,436.60","2,338.40","2.20K","0.05%"
"2024-4-11","2,360.80","2,340.50","2,382.90","2,331.60","0.98K","1.04%"
"2024-4-10","2,336.60","2,358.90","2,365.80","2,325.70","1.62K","-0.60%"
"2024-4-9","2,350.60","2,344.40","2,372.50","2,344.40","1.56K","0.50%"
"2024-4-8","2,339.00","2,332.20","2,357.00","2,310.50","1.31K","0.23%"
"2024-4-5","2,333.70","2,298.70","2,337.60","2,276.50","0.91K","1.60%"
"2024-4-4","2,296.90","2,308.90","2,312.00","2,288.40","0.99K","-0.28%"
"2024-4-3","2,303.30","2,290.00","2,310.00","2,275.10","1.23K","1.45%"
"2024-4-2","2,270.30","2,260.20","2,290.10","2,256.10","1.70K","1.09%"
"2024-4-1","2,245.90","2,243.50","2,275.00","2,238.50","1.10K","0.84%"
"2024-3-28","2,227.10","2,203.90","2,243.50","2,196.10","1.62K","1.17%"
"2024-3-27","2,201.40","2,188.90","2,206.50","2,182.80","1.21K","1.11%"
"2024-3-26","2,177.20","2,173.00","2,200.60","2,168.30","202.37K","0.04%"
"2024-3-25","2,176.40","2,166.60","2,182.50","2,164.40","211.61K","0.76%"
"2024-3-22","2,160.00","2,183.40","2,188.00","2,158.40","205.81K","-1.13%"
"2024-3-21","2,184.70","2,190.20","2,225.30","2,168.20","391.75K","1.10%"
"2024-3-20","2,161.00","2,161.40","2,192.20","2,152.30","233.57K","0.06%"
"2024-3-19","2,159.70","2,164.00","2,166.30","2,150.20","178.16K","-0.21%"
"2024-3-18","2,164.30","2,159.90","2,167.20","2,149.20","211.86K","0.13%"
"2024-3-15","2,161.50","2,166.20","2,176.90","2,158.70","187.85K","-0.28%"
"2024-3-14","2,167.50","2,179.50","2,181.30","2,157.00","207.23K","-0.61%"
"2024-3-13","2,180.80","2,163.60","2,185.60","2,161.30","232.27K","0.68%"
"2024-3-12","2,166.10","2,189.10","2,190.80","2,156.20","316.25K","-1.03%"
"2024-3-11","2,188.60","2,187.60","2,195.50","2,180.90","242.42K","0.14%"
"2024-3-8","2,185.50","2,166.60","2,203.00","2,161.20","389.68K","0.94%"
"2024-3-7","2,165.20","2,156.70","2,172.20","2,151.70","267.80K","0.32%"
"2024-3-6","2,158.20","2,136.40","2,160.70","2,131.90","319.76K","0.76%"
"2024-3-5","2,141.90","2,123.30","2,150.50","2,118.50","283.15K","0.73%"
"2024-3-4","2,126.30","2,091.60","2,128.40","2,088.10","328.25K","1.46%"
"2024-3-1","2,095.70","2,052.80","2,097.10","2,047.00","330.59K","2.00%"
"2024-2-29","2,054.70","2,043.80","2,059.40","2,036.00","227.07K","0.59%"
"2024-2-28","2,042.70","2,039.70","2,047.40","2,033.40","137.08K","0.41%"
"2024-2-27","2,034.40","2,031.00","2,038.00","2,028.70","0.96K","0.26%"
"2024-2-26","2,029.10","2,033.70","2,036.30","2,025.00","1.14K","-0.51%"
"2024-2-23","2,039.40","2,024.10","2,041.50","2,015.60","0.71K","0.92%"
"2024-2-22","2,020.80","2,026.60","2,035.00","2,019.70","1.66K","-0.18%"
"2024-2-21","2,024.50","2,025.40","2,033.00","2,021.60","1.09K","-0.27%"
"2024-2-20","2,030.00","2,017.70","2,032.10","2,015.50","1.11K","-0.48%"
"2024-2-19","2,039.80","2,027.70","2,042.70","2,023.90","202.43K","1.26%"
"2024-2-16","2,014.40","2,006.50","2,017.40","1,997.40","0.80K","0.45%"
"2024-2-15","2,005.30","1,995.10","2,010.40","1,992.70","1.07K","0.53%"
"2024-2-14","1,994.70","1,994.90","1,998.70","1,987.20","1.63K","-0.15%"
"2024-2-13","1,997.70","2,023.80","2,035.50","1,993.40","1.47K","-1.27%"
"2024-2-12","2,023.40","2,030.80","2,031.10","2,015.80","1.22K","-0.27%"
"2024-2-9","2,028.80","2,039.30","2,041.70","2,024.70","0.53K","-0.46%"
"2024-2-8","2,038.10","2,041.10","2,043.50","2,024.60","0.67K","-0.18%"
"2024-2-7","2,041.80","2,042.20","2,051.00","2,037.00","0.51K","0.01%"
"2024-2-6","2,041.50","2,031.80","2,045.30","2,029.30","0.63K","0.42%"
"2024-2-5","2,032.90","2,047.60","2,048.00","2,021.00","1.00K","-0.54%"
"2024-2-2","2,043.90","2,062.30","2,064.50","2,034.50","3.02K","-0.84%"
"2024-2-1","2,061.20","2,047.70","2,072.90","2,036.90","1.35K","0.18%"
"2024-1-31","2,057.40","2,044.80","2,064.10","2,038.90","1.43K","0.80%"
"2024-1-30","2,041.10","2,041.70","2,057.30","2,037.60","1.12K","0.78%"
"2024-1-29","2,025.40","2,024.40","2,037.20","2,018.80","150.71K","0.40%"
"2024-1-26","2,017.30","2,021.00","2,028.10","2,015.60","119.59K","-0.02%"
"2024-1-25","2,017.80","2,014.80","2,025.60","2,004.00","196.67K","0.09%"
"2024-1-24","2,016.00","2,030.70","2,037.90","2,011.70","234.46K","-0.48%"
"2024-1-23","2,025.80","2,023.20","2,039.30","2,020.80","156.70K","0.18%"
"2024-1-22","2,022.20","2,031.80","2,034.10","2,017.40","152.76K","-0.35%"
"2024-1-19","2,029.30","2,027.40","2,041.90","2,022.20","172.81K","0.38%"
"2024-1-18","2,021.60","2,009.10","2,025.60","2,007.70","171.93K","0.75%"
"2024-1-17","2,006.50","2,031.70","2,036.10","2,004.60","254.29K","-1.17%"
"2024-1-16","2,030.20","2,053.40","2,062.80","2,027.60","285.25K","0.00%"
"2024-1-15","2,030.20","2,053.40","2,062.80","2,027.60","285.25K","-1.04%"
"2024-1-12","2,051.60","2,033.20","2,067.30","2,033.10","272.35K","1.60%"
"2024-1-11","2,019.20","2,029.40","2,056.10","2,017.30","301.34K","-0.42%"
"2024-1-10","2,027.80","2,036.00","2,046.20","2,025.90","205.01K","-0.26%"
"2024-1-9","2,033.00","2,034.50","2,048.60","2,031.90","218.75K","-0.02%"
"2024-1-8","2,033.50","2,052.60","2,053.30","2,022.70","220.99K","-0.80%"
"2024-1-5","2,049.80","2,051.40","2,071.10","2,030.80","214.68K","-0.01%"
"2024-1-4","2,050.00","2,049.30","2,058.10","2,043.30","130.26K","0.35%"
"2024-1-3","2,042.80","2,067.90","2,074.30","2,038.30","221.68K","-1.48%"
"2024-1-2","2,073.40","2,072.70","2,088.10","2,064.30","157.56K","0.08%"
"2023-12-29","2,071.80","2,076.10","2,084.10","2,067.60","105.72K","-0.56%"
"2023-12-28","2,083.50","2,089.50","2,098.20","2,074.60","129.54K","0.00%"
"2023-12-27","2,083.40","2,068.00","2,085.30","2,063.30","0.59K","1.12%"
"2023-12-26","2,060.40","2,056.30","2,069.60","2,056.30","0.29K","0.04%"
"2023-12-22","2,059.60","2,051.50","2,072.30","2,049.40","0.44K","0.87%"
"2023-12-21","2,041.80","2,034.70","2,048.00","2,034.00","0.54K","0.18%"
"2023-12-20","2,038.10","2,043.50","2,045.90","2,031.60","0.26K","-0.22%"
"2023-12-19","2,042.60","2,031.00","2,050.00","2,025.40","0.47K","0.58%"
"2023-12-18","2,030.90","2,023.70","2,036.30","2,020.80","0.25K","0.24%"
"2023-12-15","2,026.00","2,038.00","2,049.60","2,020.00","0.63K","-0.45%"
"2023-12-14","2,035.20","2,031.60","2,053.00","2,030.60","0.56K","2.37%"
"2023-12-13","1,988.10","1,985.50","2,033.30","1,979.00","2.22K","0.21%"
"2023-12-12","1,983.90","1,989.00","2,002.70","1,983.50","0.57K","-0.02%"
"2023-12-11","1,984.30","2,010.60","2,013.20","1,982.10","0.55K","-1.03%"
"2023-12-8","2,004.90","2,034.70","2,039.60","2,000.80","1.37K","-1.57%"
"2023-12-7","2,036.90","2,034.70","2,047.30","2,027.40","0.53K","-0.07%"
"2023-12-6","2,038.40","2,028.30","2,042.80","2,027.00","0.68K","0.57%"
"2023-12-5","2,026.90","2,039.20","2,050.00","2,019.90","1.42K","-0.30%"
"2023-12-4","2,032.90","2,083.40","2,140.70","2,030.00","2.70K","-2.28%"
"2023-12-1","2,080.40","2,049.00","2,086.20","2,043.40","2.01K","1.60%"
"2023-11-30","2,047.60","2,055.80","2,057.50","2,042.60","1.15K","-0.48%"
"2023-11-29","2,057.50","2,053.20","2,062.30","2,047.50","1.91K","0.86%"
"2023-11-28","2,040.00","2,014.30","2,044.10","2,011.50","174.67K","1.37%"
"2023-11-27","2,012.40","2,002.50","2,018.90","2,001.40","251.25K","0.47%"
"2023-11-24","2,003.00","1,991.20","2,004.50","1,990.90","214.88K","0.00%"
"2023-11-23","2,003.00","1,991.20","2,004.50","1,990.90","214.88K","0.51%"
"2023-11-22","1,992.80","2,000.30","2,008.30","1,988.60","199.37K","-0.44%"
"2023-11-21","2,001.60","1,980.00","2,009.80","1,979.90","230.02K","1.08%"
"2023-11-20","1,980.30","1,980.90","1,987.80","1,967.20","177.89K","-0.22%"
"2023-11-17","1,984.70","1,984.20","1,996.40","1,981.10","133.12K","-0.13%"
"2023-11-16","1,987.30","1,963.00","1,991.10","1,959.00","186.81K","1.17%"
"2023-11-15","1,964.30","1,966.90","1,979.20","1,958.80","142.92K","-0.11%"
"2023-11-14","1,966.50","1,950.30","1,975.30","1,938.80","180.74K","0.84%"
"2023-11-13","1,950.20","1,943.40","1,953.50","1,935.60","183.70K","0.65%"
"2023-11-10","1,937.70","1,964.10","1,965.60","1,936.90","229.64K","-1.63%"
"2023-11-9","1,969.80","1,955.50","1,971.50","1,948.30","214.08K","0.61%"
"2023-11-8","1,957.80","1,975.30","1,977.50","1,953.20","189.36K","-0.80%"
"2023-11-7","1,973.50","1,984.80","1,985.20","1,962.80","218.95K","-0.76%"
"2023-11-6","1,988.60","1,999.40","2,000.10","1,984.20","146.28K","-0.53%"
"2023-11-3","1,999.20","1,993.50","2,011.90","1,989.30","222.19K","0.29%"
"2023-11-2","1,993.50","1,992.00","1,999.20","1,986.30","158.65K","0.30%"
"2023-11-1","1,987.50","1,993.30","2,005.90","1,978.20","197.63K","-0.34%"
"2023-10-31","1,994.30","2,005.60","2,017.70","1,987.40","214.78K","-0.56%"
"2023-10-30","2,005.60","2,013.50","2,016.80","1,999.70","181.34K","0.83%"
"2023-10-27","1,989.00","1,987.50","2,009.80","1,978.50","0.37K","0.06%"
"2023-10-26","1,987.90","1,981.60","1,992.50","1,974.40","0.20K","0.12%"
"2023-10-25","1,985.50","1,972.00","1,988.80","1,971.00","0.16K","0.44%"
"2023-10-24","1,976.80","1,975.10","1,980.30","1,958.30","1.23K","-0.07%"
"2023-10-23","1,978.20","1,977.90","1,983.10","1,963.60","0.45K","-0.34%"
"2023-10-20","1,985.00","1,976.50","1,998.90","1,975.70","1.03K","0.70%"
"2023-10-19","1,971.20","1,950.30","1,980.70","1,948.40","1.37K","0.63%"
"2023-10-18","1,958.80","1,926.60","1,966.10","1,926.60","0.33K","1.68%"
"2023-10-17","1,926.40","1,923.20","1,934.10","1,918.00","0.28K","0.07%"
"2023-10-16","1,925.10","1,931.90","1,931.90","1,912.00","0.47K","-0.36%"
"2023-10-13","1,932.10","1,875.20","1,934.80","1,875.20","0.89K","3.09%"
"2023-10-12","1,874.20","1,880.20","1,888.80","1,872.10","0.40K","-0.22%"
"2023-10-11","1,878.40","1,864.60","1,881.50","1,864.30","0.48K","0.63%"
"2023-10-10","1,866.70","1,866.30","1,870.00","1,858.10","0.36K","0.59%"
"2023-10-9","1,855.70","1,850.70","1,867.80","1,849.10","0.82K","1.03%"
"2023-10-6","1,836.70","1,826.20","1,840.20","1,815.30","0.65K","0.74%"
"2023-10-5","1,823.20","1,828.00","1,834.10","1,817.80","0.43K","-0.16%"
"2023-10-4","1,826.10","1,829.10","1,836.00","1,823.00","0.51K","-0.35%"
"2023-10-3","1,832.60","1,835.70","1,839.90","1,822.80","0.43K","-0.30%"
"2023-10-2","1,838.20","1,853.90","1,855.10","1,833.80","0.82K","-1.01%"
"2023-9-29","1,856.90","1,873.00","1,887.30","1,853.40","0.92K","-0.67%"
"2023-9-28","1,869.50","1,885.40","1,886.70","1,865.50","0.90K","-0.15%"
"2023-9-27","1,872.30","1,900.30","1,902.90","1,872.10","12.25K","-1.54%"
"2023-9-26","1,901.60","1,916.70","1,917.10","1,899.00","12.74K","-0.87%"
"2023-9-25","1,918.20","1,926.40","1,927.90","1,915.50","7.99K","-0.47%"
"2023-9-22","1,927.20","1,921.80","1,930.50","1,921.50","3.30K","0.31%"
"2023-9-21","1,921.20","1,932.80","1,933.60","1,915.00","5.62K","-1.41%"
"2023-9-20","1,948.60","1,934.70","1,950.20","1,930.40","6.22K","0.69%"
"2023-9-19","1,935.30","1,936.70","1,940.30","1,932.50","2.81K","0.01%"
"2023-9-18","1,935.20","1,927.70","1,937.30","1,925.80","3.19K","0.38%"
"2023-9-15","1,927.90","1,914.10","1,934.00","1,913.30","4.75K","0.71%"
"2023-9-14","1,914.40","1,912.70","1,916.00","1,903.80","5.99K","0.00%"
"2023-9-13","1,914.40","1,917.80","1,920.10","1,909.60","4.87K","-0.15%"
"2023-9-12","1,917.20","1,927.40","1,929.30","1,912.00","4.77K","-0.62%"
"2023-9-11","1,929.20","1,925.60","1,936.50","1,921.80","3.09K","0.24%"
"2023-9-8","1,924.60","1,925.70","1,935.50","1,922.80","6.62K","0.03%"
"2023-9-7","1,924.10","1,923.20","1,929.00","1,922.00","4.06K","-0.09%"
"2023-9-6","1,925.80","1,933.40","1,936.10","1,921.60","5.41K","-0.44%"
"2023-9-5","1,934.30","1,947.90","1,954.10","1,932.40","7.21K","-0.94%"
"2023-9-4","1,952.60","1,966.70","1,972.60","1,950.60","192.79K","0.22%"
"2023-9-1","1,948.40","1,947.90","1,961.10","1,942.30","6.26K","0.07%"
"2023-8-31","1,947.00","1,951.80","1,955.60","1,946.60","4.06K","-0.36%"
"2023-8-30","1,954.00","1,947.80","1,958.00","1,943.80","6.33K","0.91%"
"2023-8-29","1,936.40","1,920.30","1,937.00","1,914.40","1.67K","0.93%"
"2023-8-28","1,918.50","1,915.20","1,926.00","1,912.30","0.39K","0.35%"
"2023-8-25","1,911.90","1,916.00","1,921.20","1,903.00","0.79K","-0.38%"
"2023-8-24","1,919.10","1,918.70","1,923.00","1,911.60","1.29K","-0.07%"
"2023-8-23","1,920.50","1,899.20","1,921.70","1,899.20","0.92K","1.15%"
